RespondentID,What is your location?,What is your age?,What is your gender?,What is your role?,What is your industry?,Which AI tools do you prefer to use?,Which SaaS tools do you use within your role?,"On a scale of 1-10, how satisfied are you with your role?","On a scale of 1-10, how useful is AI in your role?",Any comments you would like to leave about your role?
47,Florida,55+,Male,Sales,Retail,Claude | Copilot | Other,Slack | Jira | Asana | Notion,2,1,Great opportunities for growth.
48,Florida,55+,Male,Sales,Healthcare,Copilot | Claude | ChatGPT,Slack | Notion,3,8,I enjoy my role but workload is high.
49,Florida,25-34,Non-binary,Sales,Education,Copilot | Gemini,Notion | Salesforce,4,3,AI has made my job much easier.
50,New York,35-44,Male,Data Analyst,Education,Copilot | ChatGPT,Jira | Slack | Salesforce,4,10,Great opportunities for growth.
51,California,45-54,Male,Sales,Retail,ChatGPT | Gemini | Other,Asana | Slack | Jira,8,5,Great opportunities for growth.
52,Texas,25-34,Non-binary,Engineer,Retail,Claude,Asana | Salesforce | Jira | Notion,1,4,
53,Illinois,55+,Prefer not to say,Engineer,Healthcare,ChatGPT,Zoom | Salesforce,3,9,AI has made my job much easier.
54,Texas,25-34,Female,Manager,Retail,Claude | Gemini | Other,Salesforce | Asana | Slack,1,9,
55,Texas,35-44,Non-binary,Engineer,Retail,Copilot | Claude,Zoom,10,1,
56,California,18-24,Non-binary,HR,Healthcare,ChatGPT,Salesforce | Zoom | Notion,10,1,AI has made my job much easier.
57,Texas,45-54,Prefer not to say,Engineer,Finance,Gemini | Claude | Copilot,Salesforce,8,1,I enjoy my role but workload is high.
58,Florida,25-34,Female,HR,Education,Claude | Other,Notion | Zoom | Slack | Salesforce,4,5,
59,California,55+,Female,Engineer,Finance,Other,Salesforce | Slack | Asana | Zoom,9,3,I love the team culture here.
60,New York,45-54,Prefer not to say,HR,Finance,ChatGPT | Gemini,Asana | Zoom | Notion | Salesforce,6,4,Management could improve communication.
61,New York,18-24,Prefer not to say,Manager,Healthcare,Gemini,Salesforce,7,3,
62,California,45-54,Male,Manager,Retail,Other | Gemini | Copilot,Slack | Zoom | Notion,10,2,I enjoy my role but workload is high.
63,Florida,25-34,Non-binary,Manager,Healthcare,Other,Salesforce,1,2,I love the team culture here.
64,Texas,25-34,Prefer not to say,HR,Tech,ChatGPT | Claude,Zoom,8,2,
65,Florida,35-44,Female,Sales,Tech,ChatGPT | Claude | Gemini,Notion | Zoom | Asana,10,1,I love the team culture here.
66,New York,35-44,Female,Manager,Tech,Claude | Copilot | ChatGPT,Zoom,5,9,
67,Illinois,45-54,Prefer not to say,Engineer,Retail,ChatGPT | Gemini | Claude,Asana | Salesforce | Notion | Slack,3,7,Great opportunities for growth.
68,Texas,25-34,Male,Engineer,Retail,Claude,Notion | Salesforce,1,3,I love the team culture here.
69,Florida,55+,Non-binary,Manager,Tech,Other | Copilot | ChatGPT,Salesforce | Slack | Zoom | Notion,5,7,Great opportunities for growth.
70,Florida,45-54,Female,Engineer,Tech,Claude | Other | ChatGPT,Zoom | Jira | Asana | Salesforce,4,2,Management could improve communication.
71,Illinois,18-24,Prefer not to say,Engineer,Retail,Copilot,Salesforce,6,7,Management could improve communication.
72,California,55+,Female,Sales,Retail,Other,Salesforce | Jira | Notion | Zoom,2,4,I enjoy my role but workload is high.
73,Florida,18-24,Female,HR,Finance,Gemini | Claude,Slack | Asana,6,1,Management could improve communication.
74,Illinois,18-24,Male,Manager,Finance,ChatGPT,Salesforce | Zoom | Slack | Asana,2,10,Management could improve communication.
75,California,55+,Male,Engineer,Healthcare,Claude | ChatGPT,Salesforce,9,3,I enjoy my role but workload is high.
76,New York,55+,Non-binary,Sales,Retail,Copilot | Other,Zoom | Jira | Slack,6,2,I enjoy my role but workload is high.
77,Florida,45-54,Non-binary,Manager,Tech,Other | Copilot | Claude,Jira | Notion | Slack,5,1,Management could improve communication.
78,California,35-44,Male,Sales,Finance,Other | Copilot,Salesforce,7,9,Management could improve communication.
79,Illinois,25-34,Prefer not to say,Engineer,Education,Other | Gemini | Copilot,Asana | Notion | Jira,1,2,
80,California,35-44,Non-binary,Data Analyst,Retail,Other,Slack | Notion,5,5,
81,California,18-24,Female,HR,Tech,Copilot | Claude | Other,Zoom | Salesforce | Jira,6,8,
82,Florida,35-44,Female,Engineer,Education,Claude | ChatGPT,Notion | Jira | Zoom,3,1,AI has made my job much easier.
83,Illinois,45-54,Female,Engineer,Finance,Other | Gemini | ChatGPT,Zoom | Notion | Jira,6,10,Management could improve communication.
84,Texas,35-44,Prefer not to say,Manager,Tech,Copilot | Claude | Gemini,Jira | Notion,10,3,Management could improve communication.
85,California,35-44,Male,Data Analyst,Finance,Claude | ChatGPT | Copilot,Jira | Salesforce | Asana,9,10,Management could improve communication.
86,Texas,45-54,Male,Manager,Retail,Copilot,Salesforce,1,5,
87,California,18-24,Non-binary,Manager,Finance,Claude | ChatGPT | Other,Jira | Slack,8,6,Management could improve communication.
88,Texas,25-34,Non-binary,Manager,Tech,Claude | Other,Salesforce,1,7,AI has made my job much easier.
89,Texas,35-44,Female,Sales,Tech,Copilot,Jira | Salesforce | Asana | Slack,10,3,Great opportunities for growth.
90,California,25-34,Non-binary,Manager,Finance,Copilot,Jira,5,7,I love the team culture here.
91,New York,45-54,Male,Sales,Retail,Copilot | Claude,Notion | Asana | Zoom,1,5,Management could improve communication.
92,Florida,25-34,Prefer not to say,HR,Education,Claude,Salesforce,8,7,
93,California,45-54,Female,Engineer,Finance,Gemini | Copilot | Other,Slack | Jira | Asana | Zoom,2,5,AI has made my job much easier.
94,New York,35-44,Male,Engineer,Tech,Copilot | Other | Gemini,Jira,8,2,Management could improve communication.
95,Illinois,45-54,Male,Engineer,Tech,ChatGPT | Other,Salesforce | Asana | Zoom | Jira,10,2,
96,New York,18-24,Prefer not to say,Manager,Retail,Claude | ChatGPT,Slack | Salesforce | Zoom | Asana,1,4,AI has made my job much easier.
97,New York,18-24,Female,Data Analyst,Healthcare,Claude | ChatGPT,Jira | Notion | Asana | Slack,1,4,Great opportunities for growth.
98,New York,25-34,Non-binary,Manager,Healthcare,Claude,Salesforce | Asana,3,6,AI has made my job much easier.
99,New York,25-34,Male,Data Analyst,Retail,Gemini,Salesforce | Notion | Jira,9,4,
100,California,35-44,Female,Engineer,Education,Other | Copilot | Gemini,Zoom,6,4,AI has made my job much easier.
101,California,55+,Female,Manager,Retail,ChatGPT | Gemini | Copilot,Slack | Asana | Zoom,2,2,AI has made my job much easier.
102,California,55+,Non-binary,Manager,Retail,Gemini,Zoom | Notion,1,2,I enjoy my role but workload is high.
103,Illinois,18-24,Prefer not to say,Data Analyst,Finance,Claude | Other,Zoom | Salesforce | Slack,3,10,
104,Texas,55+,Female,Data Analyst,Tech,ChatGPT | Gemini,Zoom | Asana | Slack,7,6,Management could improve communication.
105,Florida,35-44,Male,Sales,Education,Copilot | Other,Notion | Asana | Salesforce | Jira,5,8,
106,New York,35-44,Male,Data Analyst,Retail,Gemini | ChatGPT,Salesforce,3,6,Management could improve communication.
107,New York,45-54,Non-binary,Sales,Education,Copilot,Zoom | Asana,8,6,Great opportunities for growth.
108,Florida,45-54,Male,Sales,Tech,Gemini | Other,Notion | Salesforce | Jira | Slack,5,5,I enjoy my role but workload is high.
109,California,25-34,Female,Sales,Retail,Gemini | ChatGPT | Copilot,Slack | Jira | Salesforce | Notion,3,9,AI has made my job much easier.
110,Florida,25-34,Female,Data Analyst,Finance,Gemini | Copilot | Claude,Jira,4,8,I enjoy my role but workload is high.
111,Florida,25-34,Prefer not to say,Manager,Retail,Gemini | Copilot | Other,Zoom,6,1,Great opportunities for growth.
112,Texas,55+,Female,Data Analyst,Tech,Other,Jira | Asana | Notion | Salesforce,2,7,I enjoy my role but workload is high.
113,California,18-24,Non-binary,Data Analyst,Retail,Claude,Jira,4,6,Management could improve communication.
114,California,55+,Female,HR,Education,Copilot,Notion | Zoom | Salesforce | Jira,10,3,AI has made my job much easier.
115,California,25-34,Male,HR,Healthcare,ChatGPT,Jira,7,3,Management could improve communication.
116,New York,55+,Male,Sales,Healthcare,Gemini | Copilot | Claude,Slack,5,4,
117,New York,18-24,Prefer not to say,Data Analyst,Tech,Gemini,Zoom | Jira,3,9,
118,Illinois,18-24,Non-binary,Data Analyst,Education,Copilot,Jira | Asana | Salesforce,6,1,Great opportunities for growth.
119,Illinois,45-54,Male,Engineer,Finance,Claude | Gemini | Other,Asana | Jira | Zoom | Notion,2,3,
120,Florida,35-44,Non-binary,Data Analyst,Tech,Other | Gemini,Salesforce | Notion,3,4,Great opportunities for growth.
121,Texas,25-34,Non-binary,Sales,Tech,Gemini,Salesforce,3,10,I enjoy my role but workload is high.
122,California,25-34,Prefer not to say,Sales,Healthcare,Other | ChatGPT | Claude,Asana | Jira,1,8,Management could improve communication.
123,Illinois,35-44,Prefer not to say,HR,Retail,Gemini | ChatGPT,Zoom,1,8,Management could improve communication.
124,New York,45-54,Male,Sales,Retail,Other | ChatGPT | Copilot,Zoom | Slack | Salesforce | Asana,3,5,I love the team culture here.
125,New York,55+,Female,Manager,Education,Other | Copilot | ChatGPT,Asana | Salesforce | Slack | Jira,1,7,I love the team culture here.
126,New York,35-44,Female,Engineer,Retail,Gemini,Jira,7,2,AI has made my job much easier.
127,New York,55+,Prefer not to say,Engineer,Retail,Claude,Salesforce,4,10,
128,California,35-44,Prefer not to say,Sales,Retail,Other,Asana,3,4,Management could improve communication.
129,New York,18-24,Male,Sales,Healthcare,Claude | ChatGPT | Copilot,Zoom | Asana,1,3,
130,Illinois,45-54,Male,Data Analyst,Tech,Other | ChatGPT,Salesforce | Notion | Asana | Zoom,7,10,Great opportunities for growth.
131,California,25-34,Prefer not to say,HR,Finance,Claude | ChatGPT | Other,Slack | Salesforce | Zoom | Jira,4,4,
132,New York,55+,Prefer not to say,HR,Education,ChatGPT | Copilot,Jira | Asana,3,10,Management could improve communication.
133,Florida,35-44,Male,Engineer,Education,ChatGPT | Other,Salesforce | Zoom | Slack | Asana,7,3,
134,Illinois,18-24,Non-binary,HR,Education,Other | Claude | Copilot,Asana,9,6,
135,Illinois,35-44,Female,HR,Education,Gemini | Copilot | ChatGPT,Jira | Salesforce,8,1,I enjoy my role but workload is high.
136,Illinois,55+,Female,Manager,Education,Other,Salesforce,2,1,
137,Texas,45-54,Female,Data Analyst,Healthcare,Copilot | ChatGPT | Other,Slack | Jira | Zoom | Salesforce,1,9,
138,Florida,18-24,Prefer not to say,Manager,Retail,ChatGPT | Claude,Asana | Slack | Notion | Zoom,2,6,
139,New York,45-54,Male,Manager,Retail,Other,Asana,9,8,Great opportunities for growth.
140,Illinois,35-44,Male,Engineer,Retail,ChatGPT | Gemini,Asana,2,10,Great opportunities for growth.
141,California,18-24,Non-binary,Sales,Finance,Copilot,Notion,4,3,
142,New York,45-54,Prefer not to say,Data Analyst,Education,Gemini | Other | Copilot,Salesforce | Notion | Zoom,10,9,Great opportunities for growth.
143,Texas,35-44,Non-binary,Manager,Healthcare,Other | Copilot,Notion | Salesforce | Asana | Jira,5,8,
144,California,45-54,Male,Engineer,Finance,Other,Zoom | Salesforce | Slack | Jira,7,2,
145,Florida,35-44,Non-binary,Data Analyst,Healthcare,Gemini | Claude | Other,Zoom,3,4,AI has made my job much easier.
146,Illinois,55+,Prefer not to say,Sales,Retail,Gemini,Asana | Salesforce | Slack,5,2,
147,New York,18-24,Male,Engineer,Healthcare,Copilot,Jira,5,8,Management could improve communication.
148,Illinois,25-34,Prefer not to say,Sales,Finance,Copilot | Other | Gemini,Asana | Jira,8,7,
149,Florida,55+,Male,HR,Education,ChatGPT,Zoom,2,5,I love the team culture here.
150,Florida,35-44,Non-binary,Data Analyst,Tech,Copilot,Zoom | Salesforce,8,6,
151,Florida,25-34,Male,HR,Healthcare,Claude | ChatGPT,Jira | Slack | Asana,9,1,Management could improve communication.
152,Florida,45-54,Prefer not to say,Data Analyst,Education,Claude | Copilot | ChatGPT,Notion | Salesforce,9,2,I love the team culture here.
153,Florida,18-24,Male,Manager,Tech,ChatGPT | Other | Gemini,Notion | Jira | Slack | Asana,10,1,
154,New York,55+,Female,Engineer,Education,Other | ChatGPT | Gemini,Notion,10,4,
155,Texas,45-54,Male,HR,Healthcare,Copilot | Other,Slack | Salesforce | Jira,7,2,I enjoy my role but workload is high.
156,Florida,55+,Female,Data Analyst,Healthcare,Gemini | Other,Slack,3,9,AI has made my job much easier.
157,California,45-54,Male,Data Analyst,Retail,Gemini,Jira | Slack,8,5,I enjoy my role but workload is high.
158,Florida,35-44,Non-binary,Engineer,Tech,Other,Notion | Slack | Asana | Zoom,10,2,Great opportunities for growth.
159,California,25-34,Prefer not to say,Sales,Education,Gemini | Other,Notion | Asana | Salesforce,5,9,Management could improve communication.
160,New York,35-44,Non-binary,Manager,Tech,Other | Claude | ChatGPT,Notion | Asana,3,4,Great opportunities for growth.
161,Florida,35-44,Male,Manager,Healthcare,Other | Gemini,Salesforce | Jira | Zoom | Slack,6,2,
162,Illinois,35-44,Female,Engineer,Finance,Claude | Other | ChatGPT,Slack,9,3,I love the team culture here.
163,Illinois,18-24,Male,Manager,Retail,Claude | Other,Notion | Asana | Salesforce,6,4,I love the team culture here.
164,Illinois,45-54,Female,Sales,Healthcare,ChatGPT | Claude,Salesforce | Zoom,6,9,
165,Texas,45-54,Prefer not to say,Sales,Retail,Copilot,Zoom,10,8,Management could improve communication.
166,California,35-44,Male,Engineer,Retail,Claude,Asana | Salesforce,2,4,AI has made my job much easier.
167,New York,55+,Non-binary,Sales,Healthcare,Copilot,Asana | Jira | Slack | Salesforce,10,3,
168,Illinois,35-44,Non-binary,Sales,Finance,Gemini,Zoom,8,2,I love the team culture here.
169,Florida,35-44,Non-binary,Sales,Healthcare,Claude | Gemini | ChatGPT,Zoom,10,1,AI has made my job much easier.
170,California,25-34,Male,Engineer,Tech,Claude | Gemini | Other,Slack | Salesforce | Zoom | Asana,6,7,
171,California,18-24,Male,Data Analyst,Finance,Other,Zoom | Jira,7,10,
172,New York,18-24,Male,Manager,Education,ChatGPT | Claude,Salesforce | Notion | Asana,10,5,Great opportunities for growth.
173,Texas,45-54,Non-binary,Manager,Retail,Gemini,Zoom | Salesforce | Notion,9,5,Management could improve communication.
174,Illinois,35-44,Female,Engineer,Tech,Claude | Gemini | Other,Salesforce | Asana,3,7,I love the team culture here.
175,Texas,35-44,Non-binary,Sales,Finance,Other | ChatGPT | Copilot,Jira,10,2,I enjoy my role but workload is high.
176,Florida,18-24,Female,Sales,Finance,Other,Jira | Zoom | Asana,2,6,
177,Illinois,18-24,Prefer not to say,Manager,Finance,Gemini | Copilot | Other,Salesforce | Notion,9,6,I love the team culture here.
178,Florida,45-54,Non-binary,Data Analyst,Retail,Other | Copilot,Notion | Asana | Jira | Slack,7,6,I enjoy my role but workload is high.
179,Illinois,45-54,Male,HR,Education,Other,Zoom,6,3,
180,New York,18-24,Female,Manager,Healthcare,Other,Salesforce | Notion | Jira,10,6,I love the team culture here.
181,Florida,45-54,Prefer not to say,Sales,Healthcare,Gemini | Copilot,Asana | Zoom | Notion,8,8,I enjoy my role but workload is high.
182,Florida,55+,Male,Manager,Education,Other | ChatGPT | Claude,Slack | Jira | Salesforce,4,4,I love the team culture here.
183,California,35-44,Prefer not to say,Engineer,Finance,ChatGPT,Notion | Jira,3,9,I love the team culture here.
184,California,55+,Non-binary,Manager,Retail,Claude,Slack | Asana | Jira | Notion,3,6,
185,Illinois,55+,Non-binary,Engineer,Finance,Claude | ChatGPT | Copilot,Jira,9,8,I enjoy my role but workload is high.
186,California,55+,Female,Engineer,Tech,Gemini | Other | Copilot,Salesforce | Notion | Slack | Jira,2,3,I love the team culture here.
187,Florida,45-54,Prefer not to say,Data Analyst,Tech,Copilot | Claude | ChatGPT,Salesforce | Jira | Asana | Zoom,7,9,I enjoy my role but workload is high.
188,Florida,25-34,Non-binary,Sales,Tech,Gemini | Other,Notion | Zoom | Asana,2,6,Great opportunities for growth.
189,Texas,18-24,Non-binary,Sales,Retail,Claude | Copilot | Other,Zoom | Jira,7,9,
190,California,45-54,Male,Engineer,Education,Gemini | Other | ChatGPT,Slack | Salesforce | Asana,10,2,
191,Florida,25-34,Prefer not to say,Engineer,Finance,Gemini | ChatGPT,Salesforce | Asana | Notion | Slack,10,9,Great opportunities for growth.
192,California,35-44,Prefer not to say,Manager,Education,Other | Copilot,Slack,3,8,AI has made my job much easier.
193,California,18-24,Female,Data Analyst,Retail,ChatGPT | Claude | Other,Salesforce | Zoom | Notion,5,3,I enjoy my role but workload is high.
194,Texas,45-54,Prefer not to say,Data Analyst,Education,ChatGPT,Salesforce | Jira | Slack | Notion,5,2,AI has made my job much easier.
195,New York,45-54,Prefer not to say,HR,Retail,ChatGPT | Claude | Copilot,Notion | Zoom | Jira | Salesforce,10,9,I love the team culture here.
196,Illinois,35-44,Female,Manager,Finance,ChatGPT | Claude,Zoom,8,9,AI has made my job much easier.
197,Texas,45-54,Male,Data Analyst,Finance,ChatGPT | Other | Gemini,Salesforce | Notion | Zoom,2,3,I enjoy my role but workload is high.
198,California,25-34,Female,Data Analyst,Finance,ChatGPT | Claude | Other,Notion | Jira,5,6,I love the team culture here.
199,California,18-24,Non-binary,Sales,Finance,ChatGPT | Gemini | Copilot,Salesforce | Jira,10,3,Management could improve communication.
200,Illinois,25-34,Male,Data Analyst,Education,ChatGPT | Copilot,Salesforce | Slack,10,4,I love the team culture here.
201,Texas,55+,Female,Data Analyst,Finance,Other | Claude,Asana,2,2,I enjoy my role but workload is high.
202,New York,45-54,Male,Manager,Retail,Claude | Copilot,Notion,2,8,AI has made my job much easier.
203,Texas,25-34,Female,Data Analyst,Retail,Copilot,Slack,1,3,AI has made my job much easier.
204,California,35-44,Female,Manager,Education,Other | ChatGPT,Salesforce | Jira | Notion,3,10,
205,Illinois,35-44,Male,Sales,Finance,Other | ChatGPT | Copilot,Zoom | Salesforce | Notion | Jira,8,4,AI has made my job much easier.
206,New York,35-44,Female,Manager,Tech,Copilot,Notion | Slack | Jira,10,9,Management could improve communication.
207,Illinois,35-44,Prefer not to say,Engineer,Tech,Claude,Salesforce | Slack | Asana | Zoom,9,9,
208,Florida,25-34,Prefer not to say,Data Analyst,Education,ChatGPT | Gemini,Jira | Notion | Salesforce | Slack,6,4,AI has made my job much easier.
209,Texas,45-54,Non-binary,Sales,Tech,Other,Jira | Notion | Asana | Slack,6,1,AI has made my job much easier.
210,California,18-24,Male,Manager,Retail,ChatGPT,Zoom | Slack | Notion,5,1,I love the team culture here.
211,New York,25-34,Prefer not to say,Engineer,Education,Claude | Copilot,Jira | Notion | Asana,8,6,
212,California,45-54,Male,Manager,Education,ChatGPT,Zoom | Notion | Asana,9,2,
213,Illinois,25-34,Female,Manager,Tech,Other | ChatGPT | Copilot,Jira,10,2,I enjoy my role but workload is high.
214,Texas,25-34,Non-binary,Sales,Retail,Claude | Gemini | Copilot,Jira | Asana | Notion,5,6,
215,California,45-54,Female,Data Analyst,Tech,Copilot | Claude,Asana | Jira | Salesforce | Zoom,6,2,I love the team culture here.
216,California,25-34,Female,Engineer,Healthcare,Claude | Copilot | ChatGPT,Salesforce | Zoom | Notion | Asana,10,7,
217,Florida,45-54,Female,Engineer,Tech,Claude | Gemini,Asana | Slack | Zoom,9,6,
218,Illinois,35-44,Prefer not to say,Engineer,Education,ChatGPT | Claude,Slack | Salesforce | Asana | Zoom,6,7,I enjoy my role but workload is high.
219,New York,25-34,Non-binary,HR,Tech,Gemini | Other,Notion | Salesforce,4,6,Management could improve communication.
220,Florida,25-34,Female,Engineer,Healthcare,Other,Salesforce | Notion | Slack | Jira,1,9,AI has made my job much easier.
221,California,45-54,Male,Data Analyst,Healthcare,Claude,Notion | Jira | Slack | Asana,6,7,AI has made my job much easier.
222,California,35-44,Non-binary,Engineer,Finance,ChatGPT,Slack | Zoom | Jira,9,6,
223,Texas,18-24,Prefer not to say,Data Analyst,Education,Other,Salesforce,9,3,
224,Texas,45-54,Prefer not to say,Engineer,Finance,Claude | Other | Copilot,Notion | Slack | Salesforce,9,5,
225,Illinois,45-54,Non-binary,Data Analyst,Finance,Other | Gemini,Jira | Notion | Slack | Asana,8,1,I enjoy my role but workload is high.
226,California,45-54,Prefer not to say,HR,Retail,Copilot | Other,Salesforce | Asana | Jira,5,4,
227,California,35-44,Male,Manager,Tech,Other,Salesforce | Notion | Slack,3,7,Great opportunities for growth.
228,Florida,35-44,Female,Data Analyst,Healthcare,ChatGPT | Gemini,Salesforce | Slack | Jira | Zoom,2,9,AI has made my job much easier.
229,California,25-34,Female,HR,Retail,ChatGPT | Other | Gemini,Jira,7,7,
230,New York,35-44,Non-binary,HR,Education,Other | ChatGPT,Asana | Slack | Notion | Jira,5,3,I love the team culture here.
231,Illinois,55+,Non-binary,HR,Finance,Copilot,Asana | Salesforce,10,8,
232,Florida,55+,Female,Engineer,Tech,ChatGPT | Other,Asana | Slack,2,10,I love the team culture here.
233,Texas,45-54,Non-binary,Engineer,Healthcare,Copilot,Slack,8,5,AI has made my job much easier.
234,Florida,45-54,Non-binary,Engineer,Education,Gemini | Copilot,Zoom | Notion | Slack | Jira,9,5,Great opportunities for growth.
235,Texas,45-54,Prefer not to say,Sales,Tech,Other | Claude | ChatGPT,Notion,8,4,Management could improve communication.
236,Texas,25-34,Non-binary,Engineer,Retail,Claude | Copilot | Gemini,Salesforce,7,1,I love the team culture here.
237,California,35-44,Male,Data Analyst,Retail,ChatGPT,Jira,8,5,Management could improve communication.
238,Texas,18-24,Non-binary,Engineer,Education,ChatGPT | Gemini | Other,Zoom,3,10,I enjoy my role but workload is high.
239,Florida,25-34,Prefer not to say,Data Analyst,Education,Claude | Other,Salesforce,2,9,I love the team culture here.
240,New York,25-34,Non-binary,Data Analyst,Healthcare,Copilot,Salesforce | Asana | Slack,1,3,I enjoy my role but workload is high.
241,Illinois,25-34,Prefer not to say,HR,Education,Other,Salesforce | Notion | Slack | Asana,2,5,I enjoy my role but workload is high.
242,Texas,55+,Non-binary,Data Analyst,Finance,Gemini | Other,Jira | Slack | Asana | Notion,7,3,
243,New York,35-44,Male,Manager,Retail,Gemini | Copilot,Jira | Zoom | Notion | Asana,10,5,I love the team culture here.
244,Florida,35-44,Prefer not to say,HR,Education,ChatGPT | Claude,Notion,1,2,AI has made my job much easier.
245,New York,45-54,Female,Manager,Tech,Other,Asana | Jira,10,6,AI has made my job much easier.
246,California,35-44,Male,Manager,Healthcare,Copilot | Claude,Asana,2,4,
